0.45 CG1304-PA 10 19553993 19554881 0 6.19554263.19554392.6.19552342.19552486 6 19554263 19554392 6 19552342 19552486 | 10 
1.0 CG17922-PA 2153 18134640 18139262 1 1.18142879.18143092.1.18133788.18133981 1 18142879 18143092 1 18133788 18133981 | 2 
0.24 CG6296-PA 2176 22288481 22291338 0 3.22289096.22289730.3.22289040.22289366 3 22289096 22289730 3 22289040 22289366 | 5 20 
1.0 CG15719-PB 2177 12247884 12248678 1 6.12262764.12262990.6.12242335.12242429 6 12262764 12262990 6 12242335 12242429 | 5 6 
0.33 CG32664-PA 2179 10735284 10737519 0 6.10736215.10736331.6.10735587.10735731 6 10736215 10736331 6 10735587 10735731 | 19 
0.11 CG9331-PE 2188 20276479 20279806 0 0.20280718.20280987.0.20279429.20279714 0 20280718 20280987 0 20279429 20279714 | 11 
1.0 CG5540-PA 2218 23087546 23088854 1 3.23089843.23090193.3.23086052.23086381 3 23089843 23090193 3 23086052 23086381 | 16 
0.29 CG1134-PA 2227 3909464 3910881 0 2.3915551.3915856.2.3910469.3910832 2 3915551 3915856 2 3910469 3910832 | 3 
0.23 CG1134-PA 2227 3909464 3910881 0 2.3920079.3920390.2.3910549.3910866 2 3920079 3920390 2 3910549 3910866 | 8 10 16 
1.0 CG16995-PA 2251 2199124 2199849 1 0.2201368.2201699.0.2196932.2197261 0 2201368 2201699 0 2196932 2197261 | 2 
1.0 CG18281-PA 2259 20055028 20056691 1 2.20058492.20059291.2.20054932.20055787 2 20058492 20059291 2 20054932 20055787 | 2 3 4 5 6 7 8 9 11 14 15 16 18 19 
0.02 CG31705-PB 2291 11219172 11224008 0 0.11218932.11219262.0.11213928.11214231 0 11218932 11219262 0 11213928 11214231 | 18 19 
0.30 CG40486-PB 2314 20789371 20791487 0 6.20789831.20790004.6.20788766.20788911 6 20789831 20790004 6 20788766 20788911 | 6 
1.0 CG40486-PB 2314 20789371 20791487 1 6.20806163.20806306.6.20788149.20788531 6 20806163 20806306 6 20788149 20788531 | 1 2 3 4 6 10 11 13 15 16 17 19 20 
0.59 CG3210-PA 2316 2470162 2474179 0 0.2472258.2472529.0.2463036.2463313 0 2472258 2472529 0 2463036 2463313 | 12 
0.05 CG6643-PB 2335 19905370 19912791 0 3.19912701.19913528.3.19912399.19912697 3 19912701 19913528 3 19912399 19912697 | 13 18 
1.0 CG8667-PA 2337 20781621 20783340 1 0.20787236.20787555.0.20781198.20781499 0 20787236 20787555 0 20781198 20781499 | 1 
0.83 CG6308-PA 2418 14528651 14529481 0 6.14529790.14530096.6.14528791.14529096 6 14529790 14530096 6 14528791 14529096 | 1 
0.03 CG9949-PA 2422 16436520 16442698 1 2.16436393.16436679.2.16436383.16436623 2 16436393 16436679 2 16436383 16436623 | 6 
0.61 CG17970-PB 2431 5074436 5076523 1 0.5075310.5075704.0.5069930.5070041 0 5075310 5075704 0 5069930 5070041 | 3 
0.70 CG14724-PA 2432 13454296 13455190 0 3.13454643.13454925.3.13451797.13452164 3 13454643 13454925 3 13451797 13452164 | 4 
0.07 CG15335-PB 2435 7589122 7603396 0 6.7599934.7600264.6.7599314.7599679 6 7599934 7600264 6 7599314 7599679 | 3 
0.34 CG10534-PA 2461 6035354 6036039 0 2.6035312.6035588.2.6032981.6033097 2 6035312 6035588 2 6032981 6033097 | 1 3 5 6 17 
0.78 CG14266-PA 2477 2891478 2891896 1 6.2891708.2891805.6.2888634.2888839 6 2891708 2891805 6 2888634 2888839 | 13 
0.83 CG9431-PA 2484 12832732 12835577 0 0.12834831.12835101.0.12832723.12832980 0 12834831 12835101 0 12832723 12832980 | 17 
0.11 CG5422-PD 2486 19408123 19413277 0 3.19408419.19408712.3.19406535.19406769 3 19408419 19408712 3 19406535 19406769 | 1 
0.08 CG9692-PB 2512 16288594 16290027 0 2.16291712.16291819.2.16289912.16290225 2 16291712 16291819 2 16289912 16290225 | 6 
0.03 CG3726-PA 2517 5452703 5472120 0 6.5475293.5475457.6.5471459.5471581 6 5475293 5475457 6 5471459 5471581 | 5 10 16 19 
0.12 CG5659-PC 2550 17125586 17130927 0 6.17125852.17126212.6.17124294.17124549 6 17125852 17126212 6 17124294 17124549 | 9 
0.35 CG6607-PA 2567 19884708 19886443 1 3.19884994.19885309.3.19882164.19882497 3 19884994 19885309 3 19882164 19882497 | 2 5 20 
1.0 CG6104-PA 2573 21339135 21340082 1 3.21339971.21340128.3.21334760.21334908 3 21339971 21340128 3 21334760 21334908 | 1 
0.43 CG9211-PA 2577 6712933 6716253 1 0.6722632.6722948.0.6714828.6715103 0 6722632 6722948 0 6714828 6715103 | 11 
0.16 CG2715-PA 2608 2435382 2439720 0 6.2436134.2436666.6.2435992.2436380 6 2436134 2436666 6 2435992 2436380 | 4 10 12 13 14 19 
0.52 CG13694-PA 2615 101547 102609 0 0.101809.102100.0.99932.100220 0 101809 102100 0 99932 100220 | 1 
0.28 CG12223-PF 2619 15349795 15352335 0 6.15354550.15354878.6.15351613.15351931 6 15354550 15354878 6 15351613 15351931 | 16 
1.0 CG18778-PA 2633 6033705 6034496 1 2.6035312.6035588.2.6032981.6033097 2 6035312 6035588 2 6032981 6033097 | 1 3 5 6 17 
0.61 CG2211-PA 2663 1256797 1258851 0 2.1257771.1258046.2.1254356.1254634 2 1257771 1258046 2 1254356 1254634 | 19 
0.36 CG12011-PA 2675 1604272 1606067 0 2.1605811.1606035.2.1605391.1605596 2 1605811 1606035 2 1605391 1605596 | 14 
0.02 CG9369-PA 2680 11029752 11045228 0 6.11033176.11033364.6.11033102.11033227 6 11033176 11033364 6 11033102 11033227 | 8 9 
0.20 CG9369-PA 2680 11029752 11045228 0 6.11036052.11036233.6.11033118.11033243 6 11036052 11036233 6 11033118 11033243 | 13 
1.0 CG13713-PA 2682 4642789 4643088 1 2.4644708.4644979.2.4642629.4642910 2 4644708 4644979 2 4642629 4642910 | 2 
1.0 CG13348-PA 2708 10543811 10545347 1 1.10561915.10562279.1.10542146.10542363 1 10561915 10562279 1 10542146 10542363 | 9 16 
0.22 CG13123-PA 2732 9475510 9476634 0 0.9475693.9475751.0.9469705.9469763 0 9475693 9475751 0 9469705 9469763 | 1 
0.28 CG33223-PA 2767 7922080 7948438 0 6.7929113.7929354.6.7921199.7921328 6 7929113 7929354 6 7921199 7921328 | 2 4 5 6 7 8 
0.30 CG33223-PA 2767 7922080 7948438 0 6.7929964.7930084.6.7921981.7922135 6 7929964 7930084 6 7921981 7922135 | 2 
0.59 CG42867-PB 2768 19081815 19082370 1 1.19081773.19082143.1.19077354.19077739 1 19081773 19082143 1 19077354 19077739 | 3 5 
1.0 CG42867-PB 2768 19081815 19082370 1 1.19082499.19082749.1.19080675.19080965 1 19082499 19082749 1 19080675 19080965 | 9 15 16 
1.0 CG42867-PB 2768 19081815 19082370 1 1.19082552.19082879.1.19076756.19077027 1 19082552 19082879 1 19076756 19077027 | 4 14 18 
1.0 CG13190-PA 2771 8478367 8479888 1 1.8483653.8483841.1.8476536.8476740 1 8483653 8483841 1 8476536 8476740 | 7 
0.28 CG12506-PA 2798 736207 736628 0 0.739373.739495.0.736512.736748 0 739373 739495 0 736512 736748 | 18 
0.01 CG13472-PA 2835 14428995 14431957 1 2.14428682.14429033.2.14427393.14427820 2 14428682 14429033 2 14427393 14427820 | 7 
0.03 CG14803-PA 2846 1620191 1623755 0 6.1624652.1624945.6.1623645.1623986 6 1624652 1624945 6 1623645 1623986 | 18 
0.54 CG9761-PB 2851 487383 499434 0 3.493726.493871.3.486754.486967 3 493726 493871 3 486754 486967 | 16 
0.50 CG2104-PA 2860 1412805 1414244 1 3.1416421.1416574.3.1413531.1413683 3 1416421 1416574 3 1413531 1413683 | 12 
0.97 CG1165-PA 2920 1142335 1142806 0 2.1142445.1142790.2.1141414.1141784 2 1142445 1142790 2 1141414 1141784 | 1 2 3 4 5 6 7 8 10 11 13 14 18 20 
1.0 CG1165-PA 2920 1142335 1142806 1 2.1151061.1151422.2.1141135.1141232 2 1151061 1151422 2 1141135 1141232 | 3 5 6 7 10 11 13 15 20 
1.0 CG1165-PA 2920 1142335 1142806 1 2.1151182.1151515.2.1138061.1138268 2 1151182 1151515 2 1138061 1138268 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
0.07 CG2316-PB 2991 156090 164988 0 4.161878.162109.4.161460.162094 4 161878 162109 4 161460 162094 | 8 11 17 19 
0.03 CG30497-PA 3041 4465230 4509771 0 1.4466370.4466546.1.4459504.4459709 1 4466370 4466546 1 4459504 4459709 | 18 
0.04 CG9242-PB 3054 20610151 20615548 0 0.20610092.20610371.0.20609830.20610122 0 20610092 20610371 0 20609830 20610122 | 13 
0.37 CG33150-PA 3059 19940683 19942071 0 1.19942867.19943179.1.19941561.19941877 1 19942867 19943179 1 19941561 19941877 | 16 
1.0 CG1567-PA 3068 10315853 10318792 1 6.10322892.10323004.6.10304482.10304777 6 10322892 10323004 6 10304482 10304777 | 5 6 12 14 
1.0 CG1567-PA 3068 10315853 10318792 1 6.10322903.10323255.6.10302508.10302707 6 10322903 10323255 6 10302508 10302707 | 8 
1.0 CG1567-PA 3068 10315853 10318792 1 6.10322907.10322987.6.10304124.10304230 6 10322907 10322987 6 10304124 10304230 | 20 
1.0 CG2070-PA 3078 4389872 4391097 1 1.4394942.4395275.1.4389253.4389523 1 4394942 4395275 1 4389253 4389523 | 19 
0.05 CG9914-PA 3092 15320579 15322035 0 6.15320332.15320652.6.15317592.15317845 6 15320332 15320652 6 15317592 15317845 | 9 
0.03 CG17131-PA 3112 51556 74451 0 6.63637.63920.6.63331.63617 6 63637 63920 6 63331 63617 | 17 
0.01 CG17131-PA 3112 51556 74451 0 6.74038.74271.6.74033.74268 6 74038 74271 6 74033 74268 | 11 
0.25 CG8532-PE 3130 7381332 7390908 0 2.7390650.7390905.2.7388511.7388733 2 7390650 7390905 2 7388511 7388733 | 20 
0.13 CG7348-PA 3136 19713315 19714624 0 2.19713380.19713539.2.19713366.19713532 2 19713380 19713539 2 19713366 19713532 | 5 
1.0 CG6704-PA 3167 10545355 10546609 1 1.10561915.10562279.1.10542146.10542363 1 10561915 10562279 1 10542146 10542363 | 9 16 
0.18 CG1049-PD 3212 1457444 1463348 0 2.1464578.1464803.2.1462282.1462391 2 1464578 1464803 2 1462282 1462391 | 9 14 
0.49 CG8859-PA 3234 8780960 8783002 0 1.8781667.8781970.1.8776750.8777055 1 8781667 8781970 1 8776750 8777055 | 8 15 
0.14 CG12065-PA 3236 8039685 8054020 1 6.8041350.8041627.6.8039630.8039881 6 8041350 8041627 6 8039630 8039881 | 14 18 
0.03 CG12065-PA 3236 8039685 8054020 0 6.8053892.8054167.6.8053646.8053954 6 8053892 8054167 6 8053646 8053954 | 19 
0.68 CG13012-PB 3246 15663225 15667232 0 6.15665640.15665950.6.15661056.15661349 6 15665640 15665950 6 15661056 15661349 | 10 
0.29 CG42733-PD 3251 7012187 7012812 1 1.7014460.7014801.1.7012629.7012839 1 7014460 7014801 1 7012629 7012839 | 5 
0.01 CG42377-PA 3369 247854 260825 0 2.255266.255447.2.255257.255432 2 255266 255447 2 255257 255432 | 10 
1.0 CG15083-PA 3380 15370968 15372429 1 1.15373139.15373361.1.15368904.15369127 1 15373139 15373361 1 15368904 15369127 | 8 
1.0 CG6691-PA 3394 21348832 21349894 1 0.21352977.21353276.0.21336241.21336585 0 21352977 21353276 0 21336241 21336585 | 2 
0.01 CG6986-PB 3435 4292364 4313179 0 6.4298556.4298739.6.4298508.4298627 6 4298556 4298739 6 4298508 4298627 | 2 
0.35 CG30043-PA 3448 8952090 8955798 0 1.8955283.8955617.1.8954337.8954681 1 8955283 8955617 1 8954337 8954681 | 15 
0.59 CG30043-PA 3448 8952090 8955798 0 1.8957141.8957288.1.8953622.8953740 1 8957141 8957288 1 8953622 8953740 | 20 
0.23 CG10243-PA 3475 11466756 11468872 1 1.11466942.11467239.1.11463409.11463707 1 11466942 11467239 1 11463409 11463707 | 11 
0.82 CG8309-PA 3532 10757503 10759284 0 1.10758620.10758970.1.10753192.10753622 1 10758620 10758970 1 10753192 10753622 | 9 
0.08 CG3917-PA 3533 18344943 18349060 1 6.18350271.18350597.6.18348732.18349070 6 18350271 18350597 6 18348732 18349070 | 10 
0.80 CG6193-PA 3610 19527002 19531355 1 3.19530212.19530494.3.19524820.19525097 3 19530212 19530494 3 19524820 19525097 | 11 
0.08 CG3743-PC 3614 9194303 9202589 0 2.9201134.9201725.2.9201044.9201668 2 9201134 9201725 2 9201044 9201668 | 4 
0.03 CG3656-PA 3637 1890978 1892847 1 6.1895909.1896173.6.1892801.1893114 6 1895909 1896173 6 1892801 1893114 | 15 
0.06 CG12299-PA 3643 10413285 10416729 0 0.10416152.10416343.0.10416133.10416331 0 10416152 10416343 0 10416133 10416331 | 1 
0.17 CG2702-PA 3651 3726871 3729703 0 3.3729195.3729519.3.3729035.3729288 3 3729195 3729519 3 3729035 3729288 | 12 16 
0.69 CG14156-PA 3679 9981037 9982423 1 2.9984651.9984848.2.9981472.9981890 2 9984651 9984848 2 9981472 9981890 | 3 
0.14 CG2767-PB 3749 3718937 3721116 1 3.3720931.3721593.3.3720813.3721539 3 3720931 3721593 3 3720813 3721539 | 4 
0.84 CG7480-PA 3822 13940128 13942316 0 0.13945677.13945968.0.13940471.13940747 0 13945677 13945968 0 13940471 13940747 | 11 
0.43 CG11052-PA 3825 3721222 3722077 0 3.3720931.3721593.3.3720813.3721539 3 3720931 3721593 3 3720813 3721539 | 4 
1.0 CG4250-PA 3831 19079824 19080608 1 1.19081050.19081528.1.19077084.19077807 1 19081050 19081528 1 19077084 19077807 | 1 6 12 17 
1.0 CG4250-PA 3831 19079824 19080608 1 1.19081256.19081495.1.19076701.19076920 1 19081256 19081495 1 19076701 19076920 | 2 
1.0 CG4250-PA 3831 19079824 19080608 1 1.19081773.19082143.1.19077354.19077739 1 19081773 19082143 1 19077354 19077739 | 3 5 
1.0 CG4250-PA 3831 19079824 19080608 1 1.19082552.19082879.1.19076756.19077027 1 19082552 19082879 1 19076756 19077027 | 4 14 18 
0.32 CG14987-PB 3845 3919904 3921414 1 2.3920079.3920390.2.3910549.3910866 2 3920079 3920390 2 3910549 3910866 | 8 10 16 
0.02 CG31547-PB 4021 1209424 1222877 0 3.1216318.1216543.3.1216223.1216486 3 1216318 1216543 3 1216223 1216486 | 5 
0.33 CG1925-PA 4036 4522111 4529905 0 1.4531473.4531779.1.4527304.4527595 1 4531473 4531779 1 4527304 4527595 | 1 
1.0 CG14641-PA 4049 48478 50003 1 3.49727.50043.3.46174.46441 3 49727 50043 3 46174 46441 | 15 
1.0 CG17207-PA 4110 12849691 12850967 1 3.12851680.12851812.3.12842698.12842794 3 12851680 12851812 3 12842698 12842794 | 20 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8512457.8513130.2.8498341.8498514 2 8512457 8513130 2 8498341 8498514 | 8 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8513111.8513193.2.8508493.8508625 2 8513111 8513193 2 8508493 8508625 | 1 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8513315.8513895.2.8500236.8500515 2 8513315 8513895 2 8500236 8500515 | 8 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8513599.8514355.2.8507883.8508187 2 8513599 8514355 2 8507883 8508187 | 13 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8513785.8514363.2.8506572.8507213 2 8513785 8514363 2 8506572 8507213 | 8 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8515452.8516515.2.8502674.8503589 2 8515452 8516515 2 8502674 8503589 | 8 10 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8515565.8515880.2.8506169.8506941 2 8515565 8515880 2 8506169 8506941 | 16 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8517117.8517417.2.8502361.8502927 2 8517117 8517417 2 8502361 8502927 | 8 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8517931.8518113.2.8506219.8506430 2 8517931 8518113 2 8506219 8506430 | 1 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8518013.8519020.2.8505092.8506139 2 8518013 8519020 2 8505092 8506139 | 2 8 11 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8518155.8518355.2.8508456.8508876 2 8518155 8518355 2 8508456 8508876 | 8 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8518667.8519120.2.8497461.8498059 2 8518667 8519120 2 8497461 8498059 | 8 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8518772.8519186.2.8500624.8500772 2 8518772 8519186 2 8500624 8500772 | 1 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8518777.8519133.2.8506253.8506919 2 8518777 8519133 2 8506253 8506919 | 13 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8518887.8519388.2.8502448.8503253 2 8518887 8519388 2 8502448 8503253 | 8 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8519049.8519586.2.8504341.8504719 2 8519049 8519586 2 8504341 8504719 | 8 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8519459.8520189.2.8500848.8501422 2 8519459 8520189 2 8500848 8501422 | 11 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8520297.8520531.2.8500705.8501011 2 8520297 8520531 2 8500705 8501011 | 2 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8520302.8520938.2.8506776.8507738 2 8520302 8520938 2 8506776 8507738 | 1 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8520627.8520944.2.8504443.8505167 2 8520627 8520944 2 8504443 8505167 | 8 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8521181.8521640.2.8500872.8501546 2 8521181 8521640 2 8500872 8501546 | 10 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8521285.8522177.2.8505627.8506574 2 8521285 8522177 2 8505627 8506574 | 8 13 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8521316.8521943.2.8500015.8500622 2 8521316 8521943 2 8500015 8500622 | 2 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8521399.8521697.2.8497398.8498626 2 8521399 8521697 2 8497398 8498626 | 8 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8522363.8522666.2.8500416.8500977 2 8522363 8522666 2 8500416 8500977 | 8 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8522665.8523089.2.8504448.8504908 2 8522665 8523089 2 8504448 8504908 | 10 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8523294.8523810.2.8508231.8508724 2 8523294 8523810 2 8508231 8508724 | 4 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8523601.8524857.2.8505317.8506307 2 8523601 8524857 2 8505317 8506307 | 1 8 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8524267.8526072.2.8502756.8503632 2 8524267 8526072 2 8502756 8503632 | 13 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8524938.8525442.2.8502118.8502457 2 8524938 8525442 2 8502118 8502457 | 1 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8525769.8526265.2.8508383.8508564 2 8525769 8526265 2 8508383 8508564 | 2 
1.0 CG6517-PA 4113 8509390 8510221 1 2.8526404.8526534.2.8501627.8501861 2 8526404 8526534 2 8501627 8501861 | 8 
0.15 CG9153-PA 4206 1237700 1242378 0 2.1240510.1241215.2.1240509.1241116 2 1240510 1241215 2 1240509 1241116 | 5 
1.0 CG8257-PA 4250 10753830 10755685 1 1.10758620.10758970.1.10753192.10753622 1 10758620 10758970 1 10753192 10753622 | 9 
1.0 CG30054-PE 4304 9219928 9221603 1 1.9221848.9222236.1.9218438.9218846 1 9221848 9222236 1 9218438 9218846 | 9 
0.85 CG18349-PA 4312 10630314 10632850 1 2.10632360.10632459.2.10629164.10629304 2 10632360 10632459 2 10629164 10629304 | 19 
0.04 CG13900-PA 4318 790628 797406 0 2.791135.791403.2.791134.791388 2 791135 791403 2 791134 791388 | 7 
0.49 CG14935-PC 4355 11525113 11527678 1 0.11526051.11526363.0.11522417.11522691 0 11526051 11526363 0 11522417 11522691 | 10 
0.80 CG3647-PB 4436 14665080 14669751 0 0.14670734.14671041.0.14666003.14666287 0 14670734 14671041 0 14666003 14666287 | 17 
0.32 CG12230-PB 4445 18349532 18352863 1 6.18350271.18350597.6.18348732.18349070 6 18350271 18350597 6 18348732 18349070 | 10 
1.0 CG3679-PA 4447 15317608 15320591 1 6.15320332.15320652.6.15317592.15317845 6 15320332 15320652 6 15317592 15317845 | 9 
1.0 CG6511-PA 4457 8504096 8508708 1 2.8512457.8513130.2.8498341.8498514 2 8512457 8513130 2 8498341 8498514 | 8 
0.05 CG6511-PA 4457 8504096 8508708 0 2.8513111.8513193.2.8508493.8508625 2 8513111 8513193 2 8508493 8508625 | 1 
1.0 CG6511-PA 4457 8504096 8508708 1 2.8513315.8513895.2.8500236.8500515 2 8513315 8513895 2 8500236 8500515 | 8 
0.18 CG6511-PA 4457 8504096 8508708 0 2.8513599.8514355.2.8507883.8508187 2 8513599 8514355 2 8507883 8508187 | 13 
0.46 CG6511-PA 4457 8504096 8508708 0 2.8513785.8514363.2.8506572.8507213 2 8513785 8514363 2 8506572 8507213 | 8 
1.0 CG6511-PA 4457 8504096 8508708 1 2.8515452.8516515.2.8502674.8503589 2 8515452 8516515 2 8502674 8503589 | 8 10 
0.55 CG6511-PA 4457 8504096 8508708 0 2.8515565.8515880.2.8506169.8506941 2 8515565 8515880 2 8506169 8506941 | 16 
1.0 CG6511-PA 4457 8504096 8508708 1 2.8517117.8517417.2.8502361.8502927 2 8517117 8517417 2 8502361 8502927 | 8 
0.54 CG6511-PA 4457 8504096 8508708 0 2.8517931.8518113.2.8506219.8506430 2 8517931 8518113 2 8506219 8506430 | 1 
0.78 CG6511-PA 4457 8504096 8508708 0 2.8518013.8519020.2.8505092.8506139 2 8518013 8519020 2 8505092 8506139 | 2 8 11 
0.05 CG6511-PA 4457 8504096 8508708 0 2.8518155.8518355.2.8508456.8508876 2 8518155 8518355 2 8508456 8508876 | 8 
1.0 CG6511-PA 4457 8504096 8508708 1 2.8518667.8519120.2.8497461.8498059 2 8518667 8519120 2 8497461 8498059 | 8 
1.0 CG6511-PA 4457 8504096 8508708 1 2.8518772.8519186.2.8500624.8500772 2 8518772 8519186 2 8500624 8500772 | 1 
0.53 CG6511-PA 4457 8504096 8508708 0 2.8518777.8519133.2.8506253.8506919 2 8518777 8519133 2 8506253 8506919 | 13 
1.0 CG6511-PA 4457 8504096 8508708 1 2.8518887.8519388.2.8502448.8503253 2 8518887 8519388 2 8502448 8503253 | 8 
0.95 CG6511-PA 4457 8504096 8508708 0 2.8519049.8519586.2.8504341.8504719 2 8519049 8519586 2 8504341 8504719 | 8 
1.0 CG6511-PA 4457 8504096 8508708 1 2.8519459.8520189.2.8500848.8501422 2 8519459 8520189 2 8500848 8501422 | 11 
1.0 CG6511-PA 4457 8504096 8508708 1 2.8520297.8520531.2.8500705.8501011 2 8520297 8520531 2 8500705 8501011 | 2 
0.42 CG6511-PA 4457 8504096 8508708 0 2.8520302.8520938.2.8506776.8507738 2 8520302 8520938 2 8506776 8507738 | 1 
0.92 CG6511-PA 4457 8504096 8508708 0 2.8520627.8520944.2.8504443.8505167 2 8520627 8520944 2 8504443 8505167 | 8 
1.0 CG6511-PA 4457 8504096 8508708 1 2.8521181.8521640.2.8500872.8501546 2 8521181 8521640 2 8500872 8501546 | 10 
0.67 CG6511-PA 4457 8504096 8508708 0 2.8521285.8522177.2.8505627.8506574 2 8521285 8522177 2 8505627 8506574 | 8 13 
1.0 CG6511-PA 4457 8504096 8508708 1 2.8521316.8521943.2.8500015.8500622 2 8521316 8521943 2 8500015 8500622 | 2 
1.0 CG6511-PA 4457 8504096 8508708 1 2.8521399.8521697.2.8497398.8498626 2 8521399 8521697 2 8497398 8498626 | 8 
1.0 CG6511-PA 4457 8504096 8508708 1 2.8522363.8522666.2.8500416.8500977 2 8522363 8522666 2 8500416 8500977 | 8 
0.92 CG6511-PA 4457 8504096 8508708 0 2.8522665.8523089.2.8504448.8504908 2 8522665 8523089 2 8504448 8504908 | 10 
0.10 CG6511-PA 4457 8504096 8508708 0 2.8523294.8523810.2.8508231.8508724 2 8523294 8523810 2 8508231 8508724 | 4 
0.74 CG6511-PA 4457 8504096 8508708 0 2.8523601.8524857.2.8505317.8506307 2 8523601 8524857 2 8505317 8506307 | 1 8 
1.0 CG6511-PA 4457 8504096 8508708 1 2.8524267.8526072.2.8502756.8503632 2 8524267 8526072 2 8502756 8503632 | 13 
1.0 CG6511-PA 4457 8504096 8508708 1 2.8524938.8525442.2.8502118.8502457 2 8524938 8525442 2 8502118 8502457 | 1 
0.07 CG6511-PA 4457 8504096 8508708 0 2.8525769.8526265.2.8508383.8508564 2 8525769 8526265 2 8508383 8508564 | 2 
1.0 CG6511-PA 4457 8504096 8508708 1 2.8526404.8526534.2.8501627.8501861 2 8526404 8526534 2 8501627 8501861 | 8 
0.37 CG15433-PA 4460 4291400 4293428 0 0.4294762.4295059.0.4292675.4293090 0 4294762 4295059 0 4292675 4293090 | 9 
0.85 CG11158-PA 4498 12913168 12914863 0 6.12915702.12915981.6.12913430.12913668 6 12915702 12915981 6 12913430 12913668 | 14 
0.11 CG13449-PA 4510 15235265 15237416 0 2.15235283.15235491.2.15233678.15233949 2 15235283 15235491 2 15233678 15233949 | 16 
0.01 CG14764-PA 4519 4652748 4666715 0 1.4662212.4662379.1.4662208.4662366 1 4662212 4662379 1 4662208 4662366 | 3 
0.05 CG13658-PB 4584 20623395 20624868 0 3.20627311.20627528.3.20624799.20625040 3 20627311 20627528 3 20624799 20625040 | 20 
0.06 CG3957-PB 4601 19942991 19946194 0 1.19942867.19943179.1.19941561.19941877 1 19942867 19943179 1 19941561 19941877 | 16 
1.0 CG10814-PA 4608 9931705 9933488 1 1.9933769.9934001.1.9930951.9931080 1 9933769 9934001 1 9930951 9931080 | 5 
0.66 CG18779-PA 4614 6032773 6033377 1 2.6035312.6035588.2.6032981.6033097 2 6035312 6035588 2 6032981 6033097 | 1 3 5 6 17 
0.88 CG3423-PA 4621 6719313 6723465 1 0.6722632.6722948.0.6714828.6715103 0 6722632 6722948 0 6714828 6715103 | 11 
1.0 CG18568-PA 4646 10547016 10548243 1 1.10561915.10562279.1.10542146.10542363 1 10561915 10562279 1 10542146 10542363 | 9 16 
0.62 CG11495-PA 4647 3020211 3021879 0 2.3024061.3024302.2.3020851.3021085 2 3024061 3024302 2 3020851 3021085 | 16 
1.0 CG14286-PA 4663 6407187 6407949 1 3.6411482.6411791.3.6407130.6407404 3 6411482 6411791 3 6407130 6407404 | 16 
1.0 CG8342-PA 4683 21337376 21338103 1 3.21339971.21340128.3.21334760.21334908 3 21339971 21340128 3 21334760 21334908 | 1 
0.30 CG31118-PA 4714 20168359 20169698 0 3.20168285.20168765.3.20167250.20167709 3 20168285 20168765 3 20167250 20167709 | 1 3 4 5 6 7 8 9 10 13 15 16 17 19 20 
1.0 CG8983-PA 4745 8479853 8483234 1 1.8483653.8483841.1.8476536.8476740 1 8483653 8483841 1 8476536 8476740 | 7 
0.43 CG5772-PB 4802 9860227 9876775 0 0.9867233.9867394.0.9858502.9858661 0 9867233 9867394 0 9858502 9858661 | 19 
1.0 CG14096-PA 4862 19115725 19116150 1 2.19118491.19118713.2.19115280.19115489 2 19118491 19118713 2 19115280 19115489 | 4 15 
0.05 CG6533-PA 4866 8514312 8515242 1 2.8513599.8514355.2.8507883.8508187 2 8513599 8514355 2 8507883 8508187 | 13 
0.06 CG6533-PA 4866 8514312 8515242 1 2.8513785.8514363.2.8506572.8507213 2 8513785 8514363 2 8506572 8507213 | 8 
